surah_number;surah_name;total_ayah;classification
1;Al Fatihah;7;Makkiyyah
2;Al Baqarah;286;Madaniyyah
3;Ali Imran;200;Madaniyyah
4;An Nisa;176;Madaniyyah
5;A Maa-idah;120;Madaniyyah
6;Al An'aam;165;Makkiyyah
7;Al A'raaf;206;Makkiyyah
8;Al Anfaal;75;Madaniyyah
9;At Taubah;129;Madaniyyah
10;Yunus;109;Makkiyyah
11;Huud;123;Makkiyyah
12;Yusuf;111;Makkiyyah
13;Ar Ra'd;43;Makkiyyah
14;Ibrahim;52;Makkiyyah
15;Al Hijr;99;Makkiyyah
16;An Nahl;128;Makkiyyah
17;Al Israa';111;Makkiyyah
18;Al Kahfi;110;Makkiyyah
19;Maryam;98;Makkiyyah
20;Thaahaa;135;Makkiyyah
21;Al Anbiyaa';112;Makkiyyah
22;Al Hajj;78;Madaniyyah
23;Al Mu'minuun;118;Makkiyyah
24;An Nuur;64;Madaniyyah
25;Al Furqaan;77;Makkiyyah
26;Asy Syu'araa';227;Makkiyyah
27;An Naml;93;Makkiyyah
28;Al Qashash;88;Makkiyyah
29;Al Ankabuut;69;Makkiyyah
30;Ar Ruum;60;Makkiyyah
31;Luqman;34;Makkiyyah
32;As Sajdah;30;Makkiyyah
33;Al Ahzab;73;Madaniyyah
34;Saba';54;Makkiyyah
35;Faathir;45;Makkiyyah
36;Yaasiin;83;Makkiyyah
37;Ash Shaffaat;182;Makkiyyah
38;Shaad;88;Makkiyyah
39;Az Zumar;75;Makkiyyah
40;Al Mu'min;85;Makkiyyah
41;Fushshilat;54;Makkiyyah
42;Asy Syuura;53;Makkiyyah
43;Az Zukhruf;89;Makkiyyah
44;Ad Dukhaan;59;Makkiyyah
45;Al Jaatsiyah;37;Makkiyyah
46;Al Ahqaaf;35;Makkiyyah
47;Muhammad;38;Madaniyyah
48;Al Fat-h;29;Madaniyyah
49;Al Hujaraat;18;Madaniyyah
50;Qaaf;45;Makkiyyah
51;Adz Dzaariyaat;60;Makkiyyah
52;Ath Thuur;49;Makkiyyah
53;An Najm;62;Makkiyyah
54;Al Qamar;55;Makkiyyah
55;Ar Rahmaan;78;Makkiyyah
56;Al Waaqi'ah;96;Makkiyyah
57;Al Hadiid;29;Madaniyyah
58;Al Mujaadilah;22;Madaniyyah
59;Al Hasyr;24;Madaniyyah
60;Al Mumtahanah;13;Madaniyyah
61;Ash Shaff;14;Madaniyyah
62;Al Jumu'ah;11;Madaniyyah
63;Al Munaafiquun;11;Madaniyyah
64;At Taghaabun;18;Madaniyyah
65;Ath Thalaaq;12;Madaniyyah
66;At Tahrim;12;Madaniyyah
67;Al Mulk;30;Makkiyyah
68;Al Qalam;52;Makkiyyah
69;Al Haaqqah;52;Makkiyyah
70;Al Ma'aarij;44;Makkiyyah
71;Nuh;28;Makkiyyah
72;Al Jin;28;Makkiyyah
73;Al Muzzammil;20;Makkiyyah
74;Al Muddatstsir;56;Makkiyyah
75;Al Qiyaamah;40;Makkiyyah
76;Al Insaan;31;Madaniyyah
77;Al Mursalaat;50;Makkiyyah
78;An Nabaa';40;Makkiyyah
79;An Naazi'aat;46;Makkiyyah
80;'Abasa;42;Makkiyyah
81;At Takwiir;29;Makkiyyah
82;Al Infithaar;19;Makkiyyah
83;Al Muthaffifiin;36;Makkiyyah
84;Al Insyiqaaq;25;Makkiyyah
85;Al Buruuj;22;Makkiyah
86;Ath Thaariq;17;Makkiyyah
87;Al A'laa;19;Makkiyyah
88;Al Ghaasyiyah;26;Makkiyyah
89;Al Fajr;30;Makkiyyah
90;Al Balad;20;Makkiyyah
91;Asy Syams;15;Makkiyyah
92;Al Lail;21;Makkiyyah
93;Adh Dhuhaa;11;Makkiyyah
94;Alam Nasyrah;8;Makkiyyah
95;At Tiin;8;Makkiyyah
96;Al 'Alaq;19;Makkiyyah
97;Al Qadr;5;Makkiyyah
98;Al Bayyinah;8;Makkiyyah
99;Az Zalzalah;8;Madaniyyah
100;Al 'Aadiyaat;11;Makkiyyah
101;Al Qaari'ah;11;Makkiyyah
102;At Takaatsur;8;Makkiyyah
103;Al 'Ashr;3;Makkiyyah
104;Al Humazah;9;Makkiyyah
105;Al Fiil;5;Makkiyyah
106;Al Quraisy;4;Makkiyyah
107;Al Maa'uun;7;Makkiyyah
108;Al Kautsar;3;Makkiyyah
109;Al Kaafiruun;6;Makkiyyah
110;An Nashr;3;Madaniyyah
111;Al Lahab;5;Makkiyyah
112;Al Ikhlash;4;Makkiyyah
113;Al Falaq;5;Makkiyyah
114;An Naas;6;Makkiyyah
